Student_ID,Name,Age,Gender,Prayers_Before_Exams,Department,Study_Hours,Attendance,Assignments,Exam_Score,Result,Grade,Entrance_Exam_Score,Rank,Placement,LPA
ST050,Misaki Sen,18,Male,No,Computer Science,6,89,13,62.74,Pass,B,204,220,Placed,4.97
ST051,Kazuki Hussain,20,Female,Yes,Information Technology,5,73,19,75.89,Pass,A,232,116,Placed,5.97
ST052,Riku Bedi,19,Male,No,Mechanical,3,75,8,36.0,Fail,F,103,558,Not Placed,0.0
ST053,Junko Mandal,17,Male,Yes,Mechanical,3,81,8,35.25,Fail,F,97,569,Not Placed,0.0
ST054,Momoka Yadav,20,Male,Yes,Electronics,4,74,13,59.35,Pass,C,183,341,Placed,4.68
ST055,Yuki Karmakar,18,Male,Yes,Computer Science,3,88,9,40.97,Pass,D,127,535,Placed,2.45
ST056,Hiroto Malhotra,19,Male,No,Computer Science,4,83,13,63.62,Pass,B,194,268,Placed,5.32
ST057,Michiko Biswas,18,Male,No,Mechanical,4,71,12,56.74,Pass,C,166,418,Not Placed,0.0
ST058,Mao Jadhav,17,Male,Yes,Computer Science,4,74,11,45.15,Pass,D,137,499,Placed,2.21
ST059,Yuto Pandey,18,Male,Yes,,6,94,13,70.85,Pass,A,209,211,Placed,7.06
ST060,Noriko Shah,19,Female,No,Computer Science,5,97,11,53.07,Pass,C,163,419,Placed,4.83
ST061,Haruka Agrawal,18,Female,No,Electronics,10,87,20,94.39,Pass,A+,288,5,Placed,11.43
ST062,Momoka Jain,18,Male,Yes,Mechanical,5,80,13,55.86,Pass,C,165,422,Not Placed,0.0
ST063,Sayaka Prasad,18,Male,No,Computer Science,7,78,15,69.69,Pass,B,215,165,Not Placed,0.0
ST064,Koki Srivastava,18,Female,No,Information Technology,8,87,18,86.4,Pass,A+,260,47,Placed,8.68
ST065,Takumi Malhotra,20,Male,No,Electronics,6,83,12,63.51,Pass,B,193,278,Not Placed,0.0
ST066,Ryusei Rajput,18,Male,Yes,Mechanical,5,66,15,62.72,Pass,B,182,339,Not Placed,0.0
ST067,Saki Ghosh,19,Female,No,Computer Science,7,92,18,87.76,Pass,A+,264,45,Placed,9.88
ST068,Risa Reddy,19,Male,No,Information Technology,3,95,8,39.81,Fail,F,116,540,Not Placed,0.0
ST069,Satomi Patel,18,Female,No,Information Technology,4,89,10,53.51,Pass,C,163,436,Placed,4.25
ST070,Emi Mukherjee,18,Female,No,Mechanical,5,71,13,55.85,Pass,C,175,371,Placed,3.52
ST071,Haru Khan,18,Male,No,Information Technology,5,76,16,66.58,Pass,B,201,226,Placed,4.58
ST072,Riku Ansari,18,Male,Yes,Computer Science,1,63,10,34.79,Fail,F,100,557,Not Placed,0.0
ST073,Yuto Acharya,18,Male,No,Electronics,8,98,15,75.0,Pass,A,228,134,Placed,7.12
ST074,Kaito Agarwal,18,Female,No,Electronics,6,78,17,76.64,Pass,A,232,112,Placed,7.21
ST075,Nana Rao,19,Female,Yes,Computer Science,5,100,13,69.79,Pass,B,220,151,Not Placed,0.0
ST076,Riku Islam,18,Female,No,Mechanical,8,100,18,84.88,Pass,A+,256,58,Not Placed,0.0
ST077,Nana Pandey,18,Male,Yes,Computer Science,5,73,14,65.03,Pass,B,192,266,Placed,4.61
ST078,Aika Choudhury,19,Female,Yes,Information Technology,10,75,20,95.95,Pass,A+,292,6,Placed,10.38
ST079,Chihiro Malik,18,Female,No,Information Technology,5,87,15,73.85,Pass,A,221,148,Not Placed,0.0
ST080,Kazuki Shukla,19,Female,No,Electronics,3,64,13,50.19,Pass,C,151,464,Placed,4.98
ST081,Michiko Singh,19,Female,No,Information Technology,7,78,19,84.95,Pass,A+,250,64,Placed,7.31
ST082,Koki Sarkar,18,Female,Yes,Mechanical,6,77,11,59.93,Pass,C,179,352,Placed,3.81
ST083,Miyu Nambiar,19,Female,No,Electronics,7,100,16,82.26,Pass,A+,247,74,Placed,7.19
ST084,Tomomi Dutta,18,Male,Yes,Electronics,9,84,16,79.28,Pass,A,237,104,Placed,7.46
ST085,Kaori Choudhary,18,Male,Yes,Electronics,7,79,15,67.7,Pass,B,200,251,Not Placed,0.0
ST086,Himari Shetty,18,Male,No,Electronics,6,76,10,48.89,Pass,D,148,474,Not Placed,0.0
ST087,Yuki Joshi,18,Female,No,Computer Science,7,91,17,82.64,Pass,A+,243,88,Placed,7.28
ST088,Miyako Kumar,19,Male,No,Information Technology,6,77,15,71.65,Pass,A,209,205,Placed,7.02
ST089,Kota Sheikh,17,Female,Yes,Mechanical,5,81,12,53.62,Pass,C,164,410,Not Placed,0.0
ST090,Takeru Biswas,18,Female,No,Computer Science,8,76,16,77.6,Pass,A,236,93,Not Placed,0.0
ST091,Marina Siddiqui,17,Female,No,Electronics,3,67,10,43.8,Pass,D,125,522,Not Placed,0.0
ST092,Risa Choudhary,19,Male,No,Mechanical,6,72,13,61.15,Pass,B,174,358,Placed,4.11
ST093,Akiko Kumar,18,Male,No,Computer Science,8,77,16,78.84,Pass,A,231,102,Placed,7.02
ST094,Kaori Krishnan,19,Male,Yes,Electronics,6,79,12,62.96,Pass,B,188,301,Placed,5.69
ST095,Reina Shukla,18,Female,Yes,Information Technology,6,80,14,64.55,Pass,B,199,253,Not Placed,0.0
ST096,Sachiko Jain,19,Female,No,Information Technology,7,81,15,76.53,Pass,A,229,129,Not Placed,0.0
ST097,Mai Mirza,20,Female,Yes,Computer Science,5,77,12,53.02,Pass,C,155,445,Not Placed,0.0
ST098,Keiko Jadhav,19,Male,Yes,Computer Science,8,95,19,88.15,Pass,A+,265,40,Placed,8.2
ST099,Mao Reddy,19,Female,No,Electronics,3,91,12,53.68,Pass,C,160,437,Not Placed,0.0
ST100,Sakura Mirza,18,Female,No,Mechanical,3,81,13,53.06,Pass,C,152,468,Not Placed,0.0
ST101,Mio Bhattacharya,19,Male,No,Electronics,4,85,12,53.78,Pass,C,154,459,Not Placed,0.0
ST102,Junko Shetty,18,Female,No,Information Technology,5,78,14,59.67,Pass,C,172,383,Not Placed,0.0
ST103,Momoka Kumar,18,Male,No,Computer Science,5,60,13,59.54,Pass,C,191,300,Not Placed,0.0
ST104,Hinata Sharma,18,Male,Yes,Electronics,7,82,13,61.53,Pass,B,189,298,Placed,5.04
ST105,Hana Gupta,19,Female,Yes,Computer Science,5,85,12,61.47,Pass,B,181,329,Not Placed,0.0
ST106,Takeru Sengupta,18,Male,Yes,Mechanical,5,66,12,49.03,Pass,D,153,473,Not Placed,0.0
ST107,Taiga Mirza,19,Female,Yes,Mechanical,0,87,4,26.18,Fail,F,76,584,Not Placed,0.0
ST108,Fumika Bhat,19,Female,No,Electronics,5,79,13,63.07,Pass,B,195,255,Placed,4.8
ST109,Junko Gowda,19,Male,Yes,Mechanical,6,85,14,62.32,Pass,B,187,297,Placed,4.6
ST110,Sayaka Pillai,19,Male,No,Computer Science,0,79,3,18.65,Fail,F,53,594,Not Placed,0.0
ST111,Hiroto Pawar,19,Male,Yes,Electronics,-1,95,11,55.9,Pass,C,171,411,Not Placed,0.0
ST112,Reiko Bose,20,Male,Yes,Computer Science,3,84,9,47.07,Pass,D,142,484,Not Placed,0.0
ST113,Haruto Ansari,19,Male,No,Mechanical,1,92,1,14.25,Fail,F,45,597,Not Placed,0.0
ST114,Takumi Mehta,19,Male,Yes,Computer Science,5,93,10,55.3,Pass,C,167,413,Not Placed,0.0
ST115,Reiko Jadhav,20,Male,Yes,Electronics,3,71,10,47.4,Pass,D,143,487,Not Placed,0.0
ST116,Chihiro Dubey,20,Male,Yes,Mechanical,6,75,17,74.71,Pass,A,228,130,Placed,7.41
ST117,Shota Shukla,17,Male,Yes,Computer Science,7,87,11,54.28,Pass,C,176,375,Placed,3.54
ST118,Satomi Roy,18,Female,No,Information Technology,5,78,11,57.35,Pass,C,178,363,Not Placed,0.0
ST119,Takumi Shukla,18,Female,Yes,Electronics,10,80,20,94.19,Pass,A+,284,9,Placed,11.89
ST120,Saki Shetty,17,Male,Yes,Information Technology,5,95,15,71.71,Pass,A,214,173,Placed,5.62
ST121,Saki Sinha,19,Male,No,Computer Science,5,79,12,51.84,Pass,C,155,451,Not Placed,0.0
ST122,Ayaka Rao,19,Female,Yes,Computer Science,10,72,20,93.41,Pass,A+,274,30,Placed,10.0
ST123,Ren Basu,19,Female,No,Computer Science,4,74,14,66.35,Pass,B,202,228,Placed,4.67
ST124,Hinata Sarkar,17,Female,No,Mechanical,8,100,19,90.56,Pass,A+,267,33,Placed,35.0
ST125,Mei Mandal,19,Female,No,Information Technology,1,80,8,34.35,Fail,F,101,563,Not Placed,0.0
ST126,Daiki Sarkar,19,Male,No,Computer Science,5,68,12,56.56,Pass,C,173,379,Not Placed,0.0
ST127,Nao Goel,19,Male,Yes,Information Technology,2,64,10,43.96,Pass,D,131,513,Not Placed,0.0
ST128,Marina Choudhary,20,Male,No,Information Technology,6,76,11,54.09,Pass,C,160,431,Placed,3.91
ST129,Kenta Reddy,19,Male,Yes,Computer Science,6,80,17,74.91,Pass,A,219,168,Not Placed,0.0
ST130,Miyu Gaikwad,18,Male,No,Information Technology,6,91,14,74.07,Pass,A,228,125,Placed,7.24
ST131,Ayaka Yadav,19,Male,Yes,Computer Science,4,91,12,60.2,Pass,B,176,357,Placed,4.43
ST132,Kota Sinha,18,Male,No,Computer Science,4,82,10,44.81,Pass,D,132,517,Not Placed,0.0
ST133,Hina Thakur,17,Female,No,Electronics,1,77,3,12.51,Fail,F,29,599,Not Placed,0.0
ST134,Kaori Joshi,19,Female,Yes,Computer Science,4,85,12,56.57,Pass,C,170,391,Not Placed,0.0
ST135,Reiko Mishra,18,Male,Yes,Electronics,8,65,19,81.17,Pass,A+,242,81,Placed,7.03
ST136,Nana Dutta,19,Female,No,Information Technology,4,100,13,61.29,Pass,B,185,307,Placed,5.55
ST137,Kohane Sharma,18,Male,No,Information Technology,7,89,17,85.4,Pass,A+,250,72,Placed,9.46
ST138,Koki Joshi,19,Female,Yes,Electronics,7,91,17,77.24,Pass,A,235,103,Placed,5.18
ST139,Kyoko Gupta,18,Male,No,Information Technology,4,71,10,48.62,Pass,D,137,500,Not Placed,0.0
ST140,Yuriko Tiwari,20,Female,No,Mechanical,6,95,16,74.73,Pass,A,224,133,Placed,6.83
ST141,Saki Hussain,19,Female,No,Electronics,2,77,6,32.61,Fail,F,98,562,Not Placed,0.0
ST142,Fumika Gaikwad,17,Male,Yes,Information Technology,2,72,10,44.95,Pass,D,135,507,Not Placed,0.0
ST143,Kohane Mandal,19,Male,No,Mechanical,1,82,6,23.58,Fail,F,72,586,Not Placed,0.0
ST144,Ryusei Bansal,20,Male,Yes,Electronics,5,81,13,61.35,Pass,B,188,325,Not Placed,0.0
ST145,Risa Biswas,18,Male,No,Computer Science,5,71,15,61.78,Pass,B,192,284,Placed,4.76
ST146,Sota Sethi,18,Male,No,Computer Science,5,73,15,70.28,Pass,A,210,207,Placed,7.38
ST147,Haruto Tiwari,18,Female,Yes,Computer Science,5,72,15,70.09,Pass,A,205,212,Placed,7.62
ST148,Ren Bhattacharya,18,Male,No,Mechanical,4,72,10,45.6,Pass,D,140,497,Not Placed,0.0
ST149,Michiko Karmakar,19,Female,Yes,Electronics,6,78,16,72.39,Pass,A,216,161,Placed,7.55
ST150,Yuki Iyer,19,Female,No,Mechanical,7,68,15,66.84,Pass,B,207,209,Placed,5.55
ST151,Yuna Banerjee,18,Male,No,Electronics,0,75,7,31.13,Fail,F,90,575,Not Placed,0.0
ST152,Hiroto Agarwal,18,Male,No,Information Technology,3,92,7,37.45,Fail,F,108,547,Not Placed,0.0
ST153,Ayumi Mirza,19,Male,Yes,Computer Science,6,90,14,66.45,Pass,B,200,232,Not Placed,0.0
ST154,Takeru Sarkar,18,Female,No,Electronics,4,72,10,45.75,Pass,D,129,523,Not Placed,0.0
ST155,Michiko Siddiqui,17,Male,Yes,Information Technology,6,92,16,72.01,Pass,A,214,182,Placed,5.81
ST156,Itsuki Agarwal,20,Female,Yes,Mechanical,4,62,14,60.71,Pass,B,180,365,Placed,5.62
ST157,Kana Jadhav,19,Female,No,Computer Science,5,100,13,60.64,Pass,B,183,321,Not Placed,0.0
ST158,Miku Naik,19,Male,Yes,Information Technology,3,95,10,51.84,Pass,C,151,470,Not Placed,0.0
ST159,Chihiro Rajput,19,Male,Yes,Electronics,4,76,13,54.51,Pass,C,159,453,Not Placed,0.0
ST160,Shiori Banerjee,18,Female,No,Electronics,6,86,17,75.56,Pass,A,232,118,Placed,6.6
ST161,Rina Mirza,19,Female,Yes,Information Technology,5,68,13,59.49,Pass,C,178,345,Not Placed,0.0
ST162,Shiori Saxena,18,Male,Yes,Electronics,7,83,15,78.17,Pass,A,239,86,Placed,5.16
ST163,Riku Hegde,17,Male,No,Computer Science,7,80,17,82.05,Pass,A+,243,84,Not Placed,0.0
ST164,Rumi Ghosh,18,Female,Yes,Electronics,5,74,9,42.48,Pass,D,127,526,Not Placed,0.0
ST165,Hina Gowda,18,Male,No,Electronics,7,77,18,78.19,Pass,A,236,107,Placed,6.37
ST166,Takeru Pandey,19,Female,No,Mechanical,4,76,10,51.53,Pass,C,163,416,Not Placed,0.0
ST167,Minato Majumdar,17,Male,No,Mechanical,5,71,13,58.14,Pass,C,173,378,Not Placed,0.0
ST168,Hana Bose,17,Male,No,Computer Science,6,73,16,67.76,Pass,B,202,234,Not Placed,0.0
ST169,Emi Mitra,18,Female,Yes,Computer Science,4,68,11,52.98,Pass,C,164,425,Not Placed,0.0
ST170,Naoki Sengupta,18,Male,Yes,Mechanical,5,91,14,70.73,Pass,A,210,193,Placed,7.83
ST171,Nanami Mirza,19,Male,No,Information Technology,3,73,12,57.07,Pass,C,173,374,Not Placed,0.0
ST172,Sayaka Mukherjee,18,Male,No,Mechanical,6,70,15,72.01,Pass,A,221,160,Placed,7.66
ST173,Yuzuki Jain,19,Male,No,Computer Science,7,90,17,85.37,Pass,A+,253,69,Placed,7.31
ST174,Kyoko Agrawal,18,Female,Yes,Electronics,7,86,16,72.08,Pass,A,218,175,Not Placed,0.0
ST175,Mei Sen,19,Male,Yes,Mechanical,6,90,15,68.15,Pass,B,213,191,Not Placed,0.0
ST176,Nanako Mehta,19,Male,Yes,Mechanical,6,91,12,63.01,Pass,B,194,285,Placed,5.49
ST177,Itsuki Chakraborty,18,Female,No,Computer Science,5,100,12,62.85,Pass,B,190,275,Not Placed,0.0
ST178,Taiga Varma,19,Female,No,Electronics,5,80,10,50.04,Pass,C,149,476,Placed,4.61
ST179,Kaori Sinha,18,Male,No,Information Technology,3,67,8,35.11,Fail,F,102,561,Not Placed,0.0
ST180,Noa Pillai,18,Male,No,Computer Science,5,85,9,47.49,Pass,D,138,501,Not Placed,0.0
ST181,Kaito Reddy,20,Female,Yes,Electronics,5,75,14,64.01,Pass,B,200,241,Not Placed,0.0
ST182,Mei Kapoor,18,Female,No,Electronics,9,72,20,86.02,Pass,A+,265,46,Placed,7.81
ST183,Mei Pawar,17,Male,No,Mechanical,5,83,12,55.62,Pass,C,164,421,Not Placed,0.0
ST184,Koki Chatterjee,19,Male,No,Information Technology,5,91,15,70.95,Pass,A,215,190,Placed,6.41
ST185,Noriko Patel,17,Male,No,Computer Science,5,74,15,68.94,Pass,B,207,200,Placed,5.42
ST186,Akari Bose,19,Female,No,Computer Science,6,95,12,59.67,Pass,C,185,319,Not Placed,0.0
ST187,Kaori Rao,18,Female,No,Information Technology,6,72,13,61.52,Pass,B,186,296,Placed,4.88
ST188,Hitomi Yadav,20,Female,Yes,Computer Science,3,80,12,55.86,Pass,C,167,412,Placed,3.23
ST189,Haruka Sethi,19,Female,Yes,Electronics,5,86,13,61.89,Pass,B,183,361,Not Placed,0.0
ST190,Junko Thakur,19,Female,No,Information Technology,7,78,14,62.8,Pass,B,190,279,Placed,5.41
ST191,Kaori Chopra,20,Male,Yes,Mechanical,5,64,12,52.94,Pass,C,157,444,Not Placed,0.0
ST192,Kaede Sarkar,18,Male,Yes,Mechanical,4,91,12,56.01,Pass,C,169,395,Not Placed,0.0
ST193,Haruto Das,20,Male,Yes,Electronics,6,76,13,66.73,Pass,B,200,250,Not Placed,0.0
ST194,Yuna Gowda,17,Male,No,Mechanical,7,89,11,56.12,Pass,C,166,415,Not Placed,0.0
ST195,Kaori Malik,18,Female,Yes,Electronics,2,69,8,36.43,Fail,F,104,554,Not Placed,0.0
ST196,Kana Islam,18,Male,No,Information Technology,7,71,16,68.33,Pass,B,208,210,Not Placed,0.0
ST197,Sota More,18,Male,No,Computer Science,7,91,16,77.66,Pass,A,233,119,Not Placed,0.0
ST198,Erika Ghosh,18,Male,Yes,Information Technology,5,85,16,73.34,Pass,A,229,106,Placed,7.73
ST199,Marina Thakur,19,Male,Yes,Information Technology,10,78,20,92.78,Pass,A+,273,23,Placed,11.61
ST200,Yuna Sengupta,19,Male,Yes,Mechanical,7,86,17,80.01,Pass,A+,243,80,Placed,9.32
ST201,Hiroto Bose,20,Male,No,Information Technology,7,72,18,76.8,Pass,A,230,108,Not Placed,0.0
ST202,Kaori Mittal,18,Female,Yes,Mechanical,6,83,15,68.6,Pass,B,216,169,Placed,4.72
ST203,Nana Goel,19,Male,Yes,Electronics,3,83,14,62.58,Pass,B,190,302,Placed,4.37
ST204,Kaede Sharma,18,Female,Yes,Computer Science,3,78,7,33.32,Fail,F,102,553,Not Placed,0.0
ST205,Miku Rao,18,Male,No,Mechanical,5,74,11,56.9,Pass,C,170,387,Not Placed,0.0
ST206,Koki Patil,18,Male,No,Information Technology,4,83,13,61.16,Pass,B,180,349,Placed,5.29
ST207,Sakura Mehta,18,Male,No,Information Technology,5,81,16,71.08,Pass,A,215,172,Not Placed,0.0
ST208,Ayumi Mirza,19,Male,No,Electronics,8,77,17,75.18,Pass,A,219,164,Not Placed,0.0
ST209,Yuzuki Ganguly,19,Female,Yes,Computer Science,7,72,14,66.5,Pass,B,193,272,Placed,4.66
ST210,Nanami Varma,18,Male,No,Electronics,6,82,18,83.91,Pass,A+,257,55,Placed,9.58
ST211,Shiori Khanna,17,Male,Yes,Information Technology,7,77,15,68.67,Pass,B,197,238,Placed,4.25
ST212,Reiko Patel,17,Female,No,Information Technology,7,72,17,80.37,Pass,A+,240,95,Placed,8.3
ST213,Rina Gupta,17,Male,No,Mechanical,5,82,16,69.27,Pass,B,203,225,Placed,4.79
ST214,Kaori Desai,20,Male,No,Information Technology,3,98,9,51.06,Pass,C,151,454,Not Placed,0.0
ST215,Sara Menon,17,Female,Yes,Computer Science,5,78,12,52.44,Pass,C,158,447,Not Placed,0.0
ST216,Rina Desai,17,Female,Yes,Information Technology,6,97,13,71.28,Pass,A,219,159,Placed,7.81
ST217,Kenta Khan,18,Male,Yes,Mechanical,5,100,15,72.99,Pass,A,225,121,Placed,5.46
ST218,Misaki Biswas,19,Female,Yes,Computer Science,6,72,17,72.76,Pass,A,214,178,Placed,5.03
ST219,Yuto Biswas,20,Female,Yes,Computer Science,2,82,8,35.42,Fail,F,104,559,Not Placed,0.0
ST220,Sota Acharya,19,Male,Yes,Computer Science,6,100,18,84.75,Pass,A+,275,26,Placed,7.71
ST221,Kanna Pandey,19,Female,Yes,Computer Science,7,81,16,81.24,Pass,A+,242,82,Placed,9.46
ST222,Satomi Sarkar,18,Male,No,Mechanical,6,82,17,74.42,Pass,A,219,157,Placed,5.63
ST223,Yuzuki Datta,17,Male,No,Electronics,9,65,19,81.89,Pass,A+,242,85,Placed,7.72
ST224,Yuto Majumdar,20,Male,No,Information Technology,7,77,20,89.69,Pass,A+,268,28,Placed,7.39
ST225,Yuto Sharma,19,Male,Yes,Electronics,8,88,20,93.37,Pass,A+,278,20,Placed,11.86
ST226,Haruka Deshmukh,19,Female,No,Information Technology,8,100,18,89.77,Pass,A+,268,34,Not Placed,0.0
ST227,Nana Shukla,19,Male,Yes,Mechanical,7,80,19,87.84,Pass,A+,263,50,Placed,7.21
ST228,Akiko Sengupta,19,Female,No,Mechanical,6,65,17,70.69,Pass,A,212,181,Placed,5.99
ST229,Shiori Singh,19,Female,Yes,Information Technology,0,68,8,35.02,Fail,F,100,564,Not Placed,0.0
ST230,Kaede Bhat,20,Male,No,Mechanical,5,82,8,43.29,Pass,D,132,509,Not Placed,0.0
ST231,Haruto Rao,20,Female,No,Electronics,5,94,14,63.92,Pass,B,192,267,Not Placed,0.0
ST232,Akira Roy,19,Male,No,Computer Science,4,88,12,60.17,Pass,B,183,303,Not Placed,0.0
ST233,Yuto Saha,19,Male,No,Computer Science,4,87,12,58.82,Pass,C,168,399,Placed,3.56
ST234,Mao Mirza,17,Female,No,Information Technology,9,95,20,95.22,Pass,A+,286,12,Placed,11.22
ST235,Koki Khanna,19,Male,No,Electronics,8,75,18,84.59,Pass,A+,244,77,Placed,9.19
ST236,Michiko Bhattacharya,17,Male,No,Mechanical,7,82,19,83.42,Pass,A+,249,73,Placed,8.6
ST237,Nanami Kumar,19,Male,No,Electronics,5,77,14,63.14,Pass,B,193,269,Not Placed,0.0
ST238,Erika Das,20,Male,No,Mechanical,0,79,5,27.14,Fail,F,87,579,Not Placed,0.0
ST239,Nanami Saha,19,Male,No,Electronics,2,72,10,38.47,Fail,F,117,542,Not Placed,0.0
ST240,Maki Joshi,18,Male,No,Mechanical,4,79,12,54.0,Pass,C,165,424,Placed,4.86
ST241,Ema Gupta,18,Female,No,Electronics,0,82,6,30.53,Fail,F,90,574,Not Placed,0.0
ST242,Hitomi Rajput,17,Male,Yes,Information Technology,0,78,9,41.66,Pass,D,122,529,Not Placed,0.0
ST243,Kanna Bansal,19,Male,Yes,Information Technology,8,80,17,80.49,Pass,A+,255,66,Placed,9.85
ST244,Sora Rao,18,Male,Yes,Mechanical,6,86,12,61.08,Pass,B,187,317,Not Placed,0.0
ST245,Koharu Joshi,17,Male,Yes,Computer Science,4,94,12,59.79,Pass,C,174,372,Placed,3.72
ST246,Sakura Patel,18,Female,Yes,Mechanical,3,95,10,55.01,Pass,C,156,466,Not Placed,0.0
ST247,Yuka Arora,19,Female,No,Computer Science,5,90,14,70.94,Pass,A,210,186,Placed,7.33
ST248,Suzune Arora,19,Female,Yes,Information Technology,0,69,5,16.63,Fail,F,56,592,Not Placed,0.0
